pressure_mpa,mode,iteration_index,stage,target_temp_c,state_reused,outcome,elapsed_s,exception_type,exception_message
50.0,fresh_state_probe_only,5,main,987.0,True,none,0.004520893096923828,,
75.0,fresh_state_probe_only,-1,initial_mid,950.0,False,success,0.08701896667480469,,
75.0,fresh_state_probe_only,0,main,824.0,True,success,0.06920599937438965,,
75.0,fresh_state_probe_only,0,probe,825.0,False,success,0.11820697784423828,,
75.0,fresh_state_probe_only,1,main,887.0,True,success,0.0920419692993164,,
75.0,fresh_state_probe_only,1,probe,888.0,False,success,0.051407814025878906,,
100.0,fresh_state_probe_only,-1,initial_mid,950.0,False,success,0.05271720886230469,,
100.0,fresh_state_probe_only,0,main,824.0,True,success,0.0675821304321289,,
100.0,fresh_state_probe_only,0,probe,825.0,False,success,0.12718796730041504,,
100.0,fresh_state_probe_only,1,main,887.0,True,none,0.1823580265045166,,
100.0,fresh_state_probe_only,2,main,912.0,True,none,0.008108854293823242,,
100.0,fresh_state_probe_only,3,main,937.0,True,none,0.003762960433959961,,
100.0,fresh_state_probe_only,4,main,962.0,True,none,0.005922079086303711,,
100.0,fresh_state_probe_only,5,main,987.0,True,none,0.003804922103881836,,
