,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5
nan,76.38819801,0.079789749,12.98993714,0.697375225,0.031899868,0.11747493,0.703084324,4.31826223,3.980794133,0.007849224
nan,76.14749035,0.084993929,12.90040477,0.649784923,0.030865041,0.0794813,0.683087489,4.361789092,3.955906848,-0.0015081
nan,76.06569595,0.077088923,13.15067392,0.583289019,0.022831957,0.077259495,0.665246106,4.214745285,3.948861172,0.010967136
nan,76.12457463,0.069781134,13.05552033,0.650788671,0.031182286,0.083565831,0.68930536,4.519866538,4.014547804,-0.00897623
nan,75.5858768,0.088759272,12.77889876,0.468925815,0.030818383,0.101162803,0.739478132,4.492652821,3.950676306,0.018013141
nan,76.89707214,0.086674951,12.90052577,0.650163054,0.030001692,0.083976729,0.712639234,4.422964408,4.038335001,0.00311293
nan,76.24370855,0.090196362,13.07285532,0.632215684,0.026194899,0.067337489,0.678283692,4.278417957,4.137130245,0.009945065
nan,76.47314337,0.079860889,13.0533605,0.67914881,0.032820063,0.131319494,0.738598521,4.464665607,4.03737683,0.010918709
nan,76.20114311,0.079802753,12.9620415,0.633417514,0.032068488,0.107925363,0.652974393,4.50308749,4.030333603,0.01109962
nan,75.85628339,0.098398825,12.8740111,0.610326531,0.028995877,0.107081114,0.719629819,4.496460864,4.06641258,0.013642481
nan,75.96273255,0.093240815,13.04965161,0.634120217,0.033757861,0.110609255,0.75632122,4.338223383,4.034541205,0.006426602
nan,75.64365053,0.095589266,12.70850234,0.65219472,0.034148916,0.134577913,0.763220494,4.291272308,3.956737203,0.005132543
nan,76.22088455,0.102228251,12.91235635,0.728780757,0.028440572,0.065695389,0.636849168,4.353485262,3.911788686,0.009703986
nan,75.32354721,0.060447862,12.84583229,0.668076724,0.03133562,0.09215234,0.704884422,4.469366941,3.906343435,0.009392125
nan,75.5244641,0.087908372,12.86762424,0.593004004,0.031369393,0.08555245,0.644567678,4.409593499,4.039122508,0.009794573
nan,76.14377421,0.092544204,12.96003604,0.670084381,0.030066303,0.085288492,0.694863463,4.380510666,3.915220295,0.008398146
nan,76.01970036,0.070864334,13.06780606,0.662252682,0.030873735,0.107808762,0.693062124,4.443605008,4.023837661,0.004426226
nan,75.59421249,0.097147182,12.75136213,0.522226674,0.029528125,0.074967745,0.661103077,4.305332461,3.918218261,0.007328906
nan,75.57647716,0.080554502,12.64637178,0.64579463,0.026681203,0.10551387,0.725427001,4.400406675,4.025736366,0.005217204
nan,75.74367495,0.075189641,12.83483697,0.757911685,0.026063849,0.082896339,0.638942093,4.450421137,3.932568364,0.004624802
nan,75.96974176,0.091120906,12.77383449,0.631992761,0.034339647,0.077662804,0.75415373,4.274813516,4.008921375,0.005378759
nan,75.69464125,0.098441926,12.83039209,0.645833104,0.029645385,0.081021646,0.775395912,4.369050585,4.132906672,0.005318047
nan,75.56936441,0.076370456,12.70277062,0.692403923,0.032269183,0.099851165,0.682108562,4.422706445,4.025876743,0.002046003
nan,75.87471942,0.089595881,12.72187401,0.697235073,0.030590132,0.093975928,0.686520456,4.367610304,4.030246449,0.010188131
nan,75.40503859,0.100234343,12.71843181,0.687457454,0.032999715,0.126934038,0.757439514,4.347658184,4.072854405,0.022966556
nan,75.78076183,0.091210332,13.1594255,0.708356384,0.029322694,0.05305664,0.704994856,4.516705651,4.012116724,0.013024095
nan,75.84317106,0.073476753,12.99947258,0.765882184,0.034257339,0.06761426,0.712315311,4.32630223,4.140393193,0.017420794
nan,76.42357035,0.04808295,12.79619733,0.658579581,0.031787934,0.096617321,0.696224907,4.56497666,4.068252512,0.00398501
nan,75.32494143,0.104829932,13.01873128,0.59600881,0.030365309,0.061391883,0.727424338,4.318122839,4.10891715,0.008381642
nan,75.87232797,0.090417344,12.87845225,0.648148938,0.029011398,0.100176864,0.712337663,4.172116998,4.043135355,0.007419682
nan,76.20651701,0.101958231,12.8724454,0.633766548,0.028951813,0.045157437,0.71031467,4.348524647,3.947785705,0.009950907
nan,75.96427261,0.089056136,13.23293159,0.681939611,0.032072145,0.072493998,0.763140248,4.277974552,4.010416413,0.009803767
nan,75.66440073,0.085143722,13.00672412,0.620923562,0.032359912,0.102988954,0.691915309,4.437249584,3.953202161,0.015100564
nan,76.54409986,0.068613271,12.99545971,0.697331676,0.031874871,0.119149948,0.698574218,4.498069776,4.026121216,0.017029565
nan,76.18280383,0.076271289,12.94773788,0.641630987,0.036526037,0.099784357,0.639911953,4.244728521,4.04203829,0.002069647
